texto,etiqueta,texto_clean
No vuelvo a comprar nunca,0,no vuelvo a comprar nunca
Experiencia horrible 🙂,0,experiencia horrible
Calidad superior 🙂,1,calidad superior
Rápido y confiable!,1,rápido y confiable
El soporte fue amable!,1,el soporte fue amable
Experiencia increíble 10/10,1,experiencia increíble 10 10
No lo recomiendo nunca,0,no lo recomiendo nunca
Rápido y confiable!!,1,rápido y confiable
Llegó dañado!!,0,llegó dañado
Llegó dañado,0,llegó dañado
Experiencia increíble la verdad,1,experiencia increíble la verdad
El empaque impecable!,1,el empaque impecable
Me encantó el producto!,1,me encantó el producto
Pésimo servicio nunca,0,pésimo servicio nunca
Entregado tarde en serio,0,entregado tarde en serio
Gran experiencia para nada,1,gran experiencia para nada
Odio este producto!!,0,odio este producto
Súper recomendable,1,súper recomendable
La comida estaba deliciosa de verdad,1,la comida estaba deliciosa de verdad
Todo llegó perfecto la verdad,1,todo llegó perfecto la verdad
Lento y poco confiable 1/10,0,lento y poco confiable 1 10
Peor de lo esperado súper,0,peor de lo esperado súper
Mal trato del personal jamás,0,mal trato del personal jamás
Gran experiencia la verdad,1,gran experiencia la verdad
Me encantó el producto en serio,1,me encantó el producto en serio
Muy decepcionado!!,0,muy decepcionado
Nada recomendable 1/10,0,nada recomendable 1 10
Muy satisfecho súper,1,muy satisfecho súper
Muy satisfecho súper,1,muy satisfecho súper
Lento y poco confiable!,0,lento y poco confiable
La comida estaba deliciosa jamás,1,la comida estaba deliciosa jamás
Calidad superior 🙂,1,calidad superior
Caro y mala calidad la verdad,0,caro y mala calidad la verdad
Súper recomendable 1/10,1,súper recomendable 1 10
Pésimo servicio súper,0,pésimo servicio súper
Buen trato del personal la verdad,1,buen trato del personal la verdad
El empaque roto 1/10,0,el empaque roto 1 10
Llegó dañado,0,llegó dañado
Odio este producto de verdad,0,odio este producto de verdad
Todo llegó perfecto 🙂,1,todo llegó perfecto
Volveré a comprar!!,1,volveré a comprar
Muy decepcionado en serio,0,muy decepcionado en serio
Calidad terrible 🙂,0,calidad terrible
Muy mala atención!,0,muy mala atención
Lo recomiendo totalmente 🙂,1,lo recomiendo totalmente
Rápido y confiable jamás,1,rápido y confiable jamás
Pésimo servicio jamás,0,pésimo servicio jamás
Una estrella!!,0,una estrella
No lo recomiendo de verdad,0,no lo recomiendo de verdad
Nada recomendable 😡,0,nada recomendable
Súper recomendable 😡,1,súper recomendable
Cinco estrellas de verdad,1,cinco estrellas de verdad
El soporte fue grosero de verdad,0,el soporte fue grosero de verdad
Calidad superior!!,1,calidad superior
Súper recomendable,1,súper recomendable
Calidad terrible 1/10,0,calidad terrible 1 10
Caro y mala calidad 10/10,0,caro y mala calidad 10 10
Excelente servicio jamás,1,excelente servicio jamás
Todo llegó perfecto 1/10,1,todo llegó perfecto 1 10
Cinco estrellas jamás,1,cinco estrellas jamás
Experiencia horrible 1/10,0,experiencia horrible 1 10
Precio justo y buena calidad 😡,1,precio justo y buena calidad
El soporte fue grosero!,0,el soporte fue grosero
Mal trato del personal jamás,0,mal trato del personal jamás
Entregado a tiempo súper,1,entregado a tiempo súper
Nada recomendable para nada,0,nada recomendable para nada
Una estrella!,0,una estrella
Entregado tarde en serio,0,entregado tarde en serio
Entregado tarde 🙂,0,entregado tarde
Todo llegó perfecto para nada,1,todo llegó perfecto para nada
Muy buena atención la verdad,1,muy buena atención la verdad
El soporte fue amable!!,1,el soporte fue amable
Una estrella 🙂,0,una estrella
Buen trato del personal 10/10,1,buen trato del personal 10 10
Pésimo servicio,0,pésimo servicio
Funcionó mejor de lo esperado 🙂,1,funcionó mejor de lo esperado
Odio este producto en serio,0,odio este producto en serio
La comida estaba fría 10/10,0,la comida estaba fría 10 10
Lo recomiendo totalmente 1/10,1,lo recomiendo totalmente 1 10
Mal trato del personal nunca,0,mal trato del personal nunca
Muy satisfecho!!,1,muy satisfecho
Súper recomendable 10/10,1,súper recomendable 10 10
Gran experiencia,1,gran experiencia
El empaque impecable 🙂,1,el empaque impecable
Lo recomiendo totalmente 🙂,1,lo recomiendo totalmente
El empaque roto,0,el empaque roto
Experiencia increíble en serio,1,experiencia increíble en serio
Me encantó el producto súper,1,me encantó el producto súper
Entregado tarde!,0,entregado tarde
Caro y mala calidad para nada,0,caro y mala calidad para nada
El empaque impecable súper,1,el empaque impecable súper
Calidad terrible la verdad,0,calidad terrible la verdad
Buen trato del personal de verdad,1,buen trato del personal de verdad
Llegó dañado!,0,llegó dañado
Muy buena atención 😡,1,muy buena atención
Calidad superior jamás,1,calidad superior jamás
Gran experiencia nunca,1,gran experiencia nunca
Mala experiencia 1/10,0,mala experiencia 1 10
Volveré a comprar 1/10,1,volveré a comprar 1 10
Muy mala atención la verdad,0,muy mala atención la verdad
La comida estaba fría en serio,0,la comida estaba fría en serio
Precio justo y buena calidad 🙂,1,precio justo y buena calidad
El soporte fue grosero!,0,el soporte fue grosero
Lo recomiendo totalmente 1/10,1,lo recomiendo totalmente 1 10
Nada recomendable jamás,0,nada recomendable jamás
Buen trato del personal!,1,buen trato del personal
Llegó dañado la verdad,0,llegó dañado la verdad
Muy satisfecho la verdad,1,muy satisfecho la verdad
Gran experiencia 🙂,1,gran experiencia
Odio este producto jamás,0,odio este producto jamás
Entregado a tiempo de verdad,1,entregado a tiempo de verdad
Gran experiencia 🙂,1,gran experiencia
Pésimo servicio,0,pésimo servicio
Entregado a tiempo súper,1,entregado a tiempo súper
Entregado a tiempo de verdad,1,entregado a tiempo de verdad
El empaque impecable 🙂,1,el empaque impecable
La comida estaba deliciosa en serio,1,la comida estaba deliciosa en serio
Funcionó mejor de lo esperado en serio,1,funcionó mejor de lo esperado en serio
Experiencia increíble la verdad,1,experiencia increíble la verdad
Pésimo servicio,0,pésimo servicio
El soporte fue amable la verdad,1,el soporte fue amable la verdad
Súper recomendable la verdad,1,súper recomendable la verdad
Muy mala atención súper,0,muy mala atención súper
Precio justo y buena calidad para nada,1,precio justo y buena calidad para nada
La comida estaba fría 1/10,0,la comida estaba fría 1 10
Súper recomendable,1,súper recomendable
Lo recomiendo totalmente nunca,1,lo recomiendo totalmente nunca
El empaque impecable,1,el empaque impecable
Caro y mala calidad nunca,0,caro y mala calidad nunca
Volveré a comprar 😡,1,volveré a comprar
El empaque roto nunca,0,el empaque roto nunca
No vuelvo a comprar 1/10,0,no vuelvo a comprar 1 10
Calidad superior,1,calidad superior
Llegó dañado!!,0,llegó dañado
Lo recomiendo totalmente!,1,lo recomiendo totalmente
Llegó dañado nunca,0,llegó dañado nunca
Todo llegó perfecto 🙂,1,todo llegó perfecto
Peor de lo esperado 🙂,0,peor de lo esperado
Excelente servicio 10/10,1,excelente servicio 10 10
Muy decepcionado súper,0,muy decepcionado súper
Mala experiencia jamás,0,mala experiencia jamás
Caro y mala calidad para nada,0,caro y mala calidad para nada
No lo recomiendo nunca,0,no lo recomiendo nunca
No lo recomiendo la verdad,0,no lo recomiendo la verdad
El soporte fue amable 😡,1,el soporte fue amable
Buen trato del personal nunca,1,buen trato del personal nunca
Muy mala atención súper,0,muy mala atención súper
Lento y poco confiable 🙂,0,lento y poco confiable
La comida estaba deliciosa 🙂,1,la comida estaba deliciosa
Entregado a tiempo 😡,1,entregado a tiempo
No vuelvo a comprar 1/10,0,no vuelvo a comprar 1 10
Súper recomendable la verdad,1,súper recomendable la verdad
El empaque roto 🙂,0,el empaque roto
Caro y mala calidad 🙂,0,caro y mala calidad
Experiencia horrible!,0,experiencia horrible
La comida estaba fría 10/10,0,la comida estaba fría 10 10
Mala experiencia 😡,0,mala experiencia
Cinco estrellas de verdad,1,cinco estrellas de verdad
Odio este producto 10/10,0,odio este producto 10 10
Me encantó el producto,1,me encantó el producto
La comida estaba deliciosa 1/10,1,la comida estaba deliciosa 1 10
Lento y poco confiable!,0,lento y poco confiable
Lento y poco confiable 10/10,0,lento y poco confiable 10 10
Excelente servicio nunca,1,excelente servicio nunca
Mala experiencia!,0,mala experiencia
Nada recomendable 🙂,0,nada recomendable
Volveré a comprar de verdad,1,volveré a comprar de verdad
Cinco estrellas 🙂,1,cinco estrellas
El soporte fue amable 1/10,1,el soporte fue amable 1 10
Rápido y confiable para nada,1,rápido y confiable para nada
Calidad terrible de verdad,0,calidad terrible de verdad
Volveré a comprar jamás,1,volveré a comprar jamás
Muy decepcionado en serio,0,muy decepcionado en serio
Mala experiencia para nada,0,mala experiencia para nada
Muy satisfecho jamás,1,muy satisfecho jamás
Muy decepcionado en serio,0,muy decepcionado en serio
Calidad terrible la verdad,0,calidad terrible la verdad
La comida estaba fría 10/10,0,la comida estaba fría 10 10
Calidad superior!,1,calidad superior
Calidad terrible!,0,calidad terrible
Calidad superior para nada,1,calidad superior para nada
Odio este producto nunca,0,odio este producto nunca
Gran experiencia!,1,gran experiencia
Entregado a tiempo 1/10,1,entregado a tiempo 1 10
La comida estaba deliciosa nunca,1,la comida estaba deliciosa nunca
Precio justo y buena calidad jamás,1,precio justo y buena calidad jamás
Experiencia horrible súper,0,experiencia horrible súper
Me encantó el producto 😡,1,me encantó el producto
No lo recomiendo 10/10,0,no lo recomiendo 10 10
Funcionó mejor de lo esperado 🙂,1,funcionó mejor de lo esperado
El soporte fue grosero la verdad,0,el soporte fue grosero la verdad
Funcionó mejor de lo esperado en serio,1,funcionó mejor de lo esperado en serio
La comida estaba deliciosa de verdad,1,la comida estaba deliciosa de verdad
Mal trato del personal para nada,0,mal trato del personal para nada
Mal trato del personal 1/10,0,mal trato del personal 1 10
Experiencia horrible 1/10,0,experiencia horrible 1 10
Muy buena atención jamás,1,muy buena atención jamás
El soporte fue amable 10/10,1,el soporte fue amable 10 10
No lo recomiendo 10/10,0,no lo recomiendo 10 10
El empaque impecable la verdad,1,el empaque impecable la verdad
Lo recomiendo totalmente jamás,1,lo recomiendo totalmente jamás
Muy decepcionado de verdad,0,muy decepcionado de verdad
Muy buena atención!!,1,muy buena atención
No vuelvo a comprar para nada,0,no vuelvo a comprar para nada
Excelente servicio la verdad,1,excelente servicio la verdad
No vuelvo a comprar,0,no vuelvo a comprar
Una estrella,0,una estrella
Peor de lo esperado 1/10,0,peor de lo esperado 1 10
Excelente servicio la verdad,1,excelente servicio la verdad
Entregado tarde 😡,0,entregado tarde
La comida estaba fría súper,0,la comida estaba fría súper
Rápido y confiable súper,1,rápido y confiable súper
Peor de lo esperado!,0,peor de lo esperado
Buen trato del personal 😡,1,buen trato del personal
El empaque impecable para nada,1,el empaque impecable para nada
El soporte fue grosero 😡,0,el soporte fue grosero
Muy buena atención 10/10,1,muy buena atención 10 10
Experiencia increíble súper,1,experiencia increíble súper
Volveré a comprar nunca,1,volveré a comprar nunca
El soporte fue grosero 😡,0,el soporte fue grosero
Mala experiencia 🙂,0,mala experiencia
Funcionó mejor de lo esperado jamás,1,funcionó mejor de lo esperado jamás
El empaque roto 10/10,0,el empaque roto 10 10
Pésimo servicio 1/10,0,pésimo servicio 1 10
No lo recomiendo!,0,no lo recomiendo
Volveré a comprar la verdad,1,volveré a comprar la verdad
Caro y mala calidad!!,0,caro y mala calidad
Todo llegó perfecto 😡,1,todo llegó perfecto
Me encantó el producto,1,me encantó el producto
Entregado a tiempo 10/10,1,entregado a tiempo 10 10
Peor de lo esperado,0,peor de lo esperado
Odio este producto para nada,0,odio este producto para nada
Nada recomendable 10/10,0,nada recomendable 10 10
Lento y poco confiable la verdad,0,lento y poco confiable la verdad
Buen trato del personal en serio,1,buen trato del personal en serio
Me encantó el producto 1/10,1,me encantó el producto 1 10
La comida estaba fría nunca,0,la comida estaba fría nunca
La comida estaba deliciosa 🙂,1,la comida estaba deliciosa
Mal trato del personal!!,0,mal trato del personal
Precio justo y buena calidad en serio,1,precio justo y buena calidad en serio
Experiencia horrible!,0,experiencia horrible
Precio justo y buena calidad jamás,1,precio justo y buena calidad jamás
Experiencia increíble súper,1,experiencia increíble súper
Odio este producto jamás,0,odio este producto jamás
Todo llegó perfecto en serio,1,todo llegó perfecto en serio
Todo llegó perfecto 😡,1,todo llegó perfecto
Cinco estrellas súper,1,cinco estrellas súper
El empaque impecable!!,1,el empaque impecable
Excelente servicio!!,1,excelente servicio
Calidad terrible 10/10,0,calidad terrible 10 10
Rápido y confiable 🙂,1,rápido y confiable
Una estrella la verdad,0,una estrella la verdad
Muy mala atención 😡,0,muy mala atención
El empaque roto!!,0,el empaque roto
Muy satisfecho en serio,1,muy satisfecho en serio
Rápido y confiable,1,rápido y confiable
Mal trato del personal súper,0,mal trato del personal súper
El empaque roto jamás,0,el empaque roto jamás
No vuelvo a comprar 😡,0,no vuelvo a comprar
Entregado tarde 🙂,0,entregado tarde
Entregado tarde 🙂,0,entregado tarde
Peor de lo esperado para nada,0,peor de lo esperado para nada
Peor de lo esperado la verdad,0,peor de lo esperado la verdad
Muy mala atención nunca,0,muy mala atención nunca
Muy mala atención,0,muy mala atención
Rápido y confiable de verdad,1,rápido y confiable de verdad
Nada recomendable 1/10,0,nada recomendable 1 10
Experiencia horrible de verdad,0,experiencia horrible de verdad
Mala experiencia 🙂,0,mala experiencia
Calidad superior!!,1,calidad superior
